0x0L,CMN             W1, #1  ; Alternative name is '$x'
0x4L,B.EQ            loc_14
0x5578L,LDP             X23, X24, [SP,#arg_30]
0x557cL,LDP             X25, X26, [SP,#arg_40]
0x5580L,LDP             X29, X30, [SP+arg_0],#0x60
0x5584L,RET
0x5588L,LDRB            W0, [X0,#0x20]
0x558cL,ORR             W0, W0, #1
0x5590L,STRB            W0, [X23,#0x20]
0x5594L,B               loc_5378
0x5598L,LDR             X0, [X19]
0x559cL,LDR             X2, [X19,#8]
0x55a0L,LDR             X1, [X19,#0x10]
0x55a4L,MVN             X3, X0
0x55a8L,LDR             X0, [X19,#0x18]
0x55acL,MVN             X2, X2
0x55b0L,MVN             X1, X1
0x55b4L,STR             X3, [X19]
0x55b8L,MVN             X0, X0
0x55bcL,STR             X2, [X19,#8]
0x55c0L,STR             X1, [X19,#0x10]
0x55c4L,STR             X0, [X19,#0x18]
0x55c8L,B               loc_53D4
0x55ccL,MOV             X0, X19
0x5610L,MOV             X0, #0x3C8
0x5638L,LDR             X0, [X23]
0x566cL,MOV             X0, X19
0x5698L,MOV             X0, #0x3C8
0x56c0L,MOV             X0, #0x3C8
0x55d0L,BL              sub_55D0
0x55d4L,LDR             X0, [X23]
0x55d8L,BL              sub_55D8
0x55dcL,LDR             X0, [X23,#0x18]
0x55e0L,BL              sub_55E0
0x55e4L,MOV             X0, X23
0x55e8L,BL              sub_55E8
0x55ecL,MOV             W1, #0xC
0x55f0L,STR             W1, [X22]
0x55f4L,MOV             X0, #0
0x55f8L,LDP             X19, X20, [SP,#arg_10]
0x55fcL,LDP             X21, X22, [SP,#arg_20]
0x5600L,LDP             X23, X24, [SP,#arg_30]
0x5604L,LDP             X25, X26, [SP,#arg_40]
0x5608L,LDP             X29, X30, [SP+arg_0],#0x60
0x560cL,RET
0x5614L,BL              sub_5614
0x5618L,CBZ             X0, loc_5570
0x561cL,LDR             X1, [X21,#0x70]
0x5620L,MOV             X3, X0
0x5624L,STR             X1, [X0]
0x5628L,MOV             W2, #1
0x562cL,STR             X0, [X21,#0x70]
0x5630L,MOV             W1, #0
0x5634L,B               loc_5520
0x563cL,BL              sub_563C
0x5640L,LDR             X0, [X23,#0x18]
0x5644L,BL              sub_5644
0x5648L,MOV             X0, X23
0x564cL,BL              sub_564C
0x5650L,MOV             X0, X25
0x5654L,LDP             X19, X20, [SP,#arg_10]
0x5658L,LDP             X21, X22, [SP,#arg_20]
0x565cL,LDP             X23, X24, [SP,#arg_30]
0x5660L,LDP             X25, X26, [SP,#arg_40]
0x5664L,LDP             X29, X30, [SP+arg_0],#0x60
0x5668L,RET
0x5670L,BL              sub_5670
0x5674L,LDR             X0, [X23]
0x5678L,BL              sub_5678
0x567cL,LDR             X0, [X23,#0x18]
0x5680L,BL              sub_5680
0x5684L,MOV             X0, X23
0x5688L,BL              sub_5688
0x568cL,STR             W25, [X22]
0x5690L,MOV             X0, #0
0x5694L,B               loc_5570
0x569cL,BL              sub_569C
0x56a0L,CBZ             X0, loc_55CC
0x56a4L,LDR             X1, [X21,#0x70]
0x56a8L,MOV             X3, X0
0x56acL,STR             X1, [X0]
0x56b0L,MOV             W2, #1
0x56b4L,STR             X0, [X21,#0x70]
0x56b8L,MOV             W1, #0
0x56bcL,B               loc_5438
0x56c4L,BL              sub_56C4
0x56c8L,CBZ             X0, loc_55CC
0x56ccL,LDR             X1, [X21,#0x70]
0x56d0L,MOV             X2, X0
0x56d4L,STR             X1, [X0]
0x56d8L,MOV             W3, #1
0x56dcL,STR             X0, [X21,#0x70]
0x56e0L,MOV             W1, #0
0x56e4L,B               loc_54B8
0x56e8L,STP             X29, X30, [SP,#-0x10+var_40]!
0x56ecL,MOV             X29, SP
0x56f0L,STP             X19, X20, [SP,#0x40+var_30]
0x56f4L,STP             X21, X22, [SP,#0x40+var_20]
0x56f8L,STP             X23, X24, [SP,#0x40+var_10]
0x56fcL,STR             X25, [SP,#0x40+var_s0]
0x5700L,MOV             X23, X0
0x5704L,MOV             X22, X1
0x5708L,MOV             X19, X2
0x570cL,MOV             X20, X3
0x5710L,MOV             W24, W4
0x5714L,MOV             X21, #1
0x5718L,LDR             X2, [X22,#8]
0x571cL,SUB             X7, X2, #1
0x5720L,CMN             X7, #4
0x5724L,B.HI            loc_5774
0x5728L,LDR             X8, [X22,#0x10]
0x572cL,MOV             X6, #0
0x5730L,B               loc_5738
0x5734L,ADD             X6, X5, #1
0x5738L,CMP             X7, X6
0x573cL,B.LS            loc_5768
0x5740L,ADD             X9, X6, X7
0x5744L,UBFM            X5, X9, #1, #0x3F
0x5748L,LDR             X9, [X8,X5,LSL#3]
0x574cL,CMP             X19, X9
0x5750L,B.HI            loc_5734
0x5754L,CMP             X6, X5
0x5758L,ADD             X9, X5, X6
0x575cL,MOV             X7, X5
0x5760L,UBFM            X5, X9, #1, #0x3F
0x5764L,B.CC            loc_5748
0x5768L,LDR             X0, [X8,X6,LSL#3]
0x576cL,CMP             X19, X0
0x5770L,B.EQ            loc_5838
0x5774L,LDR             X3, [X23]
0x5778L,UBFM            X1, X19, #0x3C, #0x3B
0x577cL,ADD             X0, X3, X1
0x5780L,LDRB            W0, [X0,#8]
0x5784L,CMP             W0, W24
0x5788L,B.NE            loc_5798
0x578cL,LDR             X0, [X3,X1]
0x5790L,CMP             X0, X20
0x5794L,B.EQ            loc_5954
0x5798L,LDR             X0, [X22]
0x579cL,CBZ             X0, loc_57E4
0x57a0L,CBNZ            X2, loc_5870
0x57a4L,LDR             X0, [X22,#0x10]
0x57a8L,STR             X19, [X0]
0x57acL,LDR             X1, [X22,#8]
0x57b0L,ADD             X1, X1, #1
0x57b4L,STR             X1, [X22,#8]
0x57b8L,ADD             X19, X19, X19,LSL#1
0x57bcL,LDR             X2, [X23,#0x28]
0x57c0L,UBFM            X19, X19, #0x3D, #0x3C
0x57c4L,ADD             X2, X2, X19
0x57c8L,LDR             X1, [X2,#8]
0x57ccL,CBZ             X1, loc_5818
0x57d0L,CMP             X1, #2
0x57d4L,B.EQ            loc_5844
0x57d8L,LDR             X0, [X2,#0x10]
0x57dcL,LDR             X19, [X0]
0x57e0L,B               loc_5718
0x57e4L,STR             X21, [X22]
0x57e8L,MOV             X0, #8
0x57ecL,STR             X21, [X22,#8]
0x5838L,CMN             X6, #1
0x583cL,B.EQ            loc_5774
0x5840L,B               loc_5818
0x5844L,LDR             X2, [X2,#0x10]
0x5848L,MOV             X0, X23
0x584cL,MOV             X1, X22
0x5850L,MOV             X3, X20
0x5854L,MOV             W4, W24
0x5858L,LDR             X2, [X2,#8]
0x585cL,BL              check_arrival_expand_ecl_sub
0x5860L,CBNZ            W0, loc_594C
0x5864L,LDR             X2, [X23,#0x28]
0x5868L,ADD             X2, X2, X19
0x586cL,B               loc_57D8
0x5870L,CMP             X2, X0
0x5874L,B.EQ            loc_58C8
0x5878L,LDR             X25, [X22,#0x10]
0x587cL,LDR             X0, [X25]
0x5880L,CMP             X19, X0
0x5884L,B.CC            loc_58FC
0x5888L,UBFM            X2, X2, #0x3D, #0x3C
0x588cL,ADD             X3, X25, X2
0x5890L,LDUR            X4, [X3,#-8]
0x5894L,CMP             X19, X4
0x5898L,B.CS            loc_58B4
0x589cL,SUB             X3, X3, #8
0x58a0L,STR             X4, [X25,X2]
0x58a4L,SUB             X2, X2, #8
0x58a8L,LDUR            X4, [X3,#-8]
0x58acL,CMP             X19, X4
0x58b0L,B.CC            loc_589C
0x58b4L,STR             X19, [X25,X2]
0x58b8L,LDR             X0, [X22,#8]
0x58bcL,ADD             X0, X0, #1
0x58c0L,STR             X0, [X22,#8]
0x58c4L,B               loc_57B8
0x58c8L,LDR             X0, [X22,#0x10]
0x58ccL,UBFM            X3, X2, #0x3F, #0x3E
0x58d0L,UBFM            X1, X2, #0x3C, #0x3B
0x58d4L,STR             X3, [X22]
0x594cL,MOV             W1, W0
0x5950L,B               loc_581C
0x5954L,CMP             W24, #9
0x5958L,B.NE            loc_5818
0x595cL,MOV             X1, X19
0x5960L,MOV             X0, X22
0x5964L,BL              re_node_set_insert
0x5968L,UBFM            W0, W0, #0, #7
0x596cL,MOV             W1, #0
0x5970L,CBNZ            W0, loc_581C
0x5974L,MOV             W1, #0xC
0x5978L,B               loc_581C
0x57f0L,BL              sub_57F0
0x57f4L,STR             X0, [X22,#0x10]
0x57f8L,CBZ             X0, loc_5924
0x57fcL,STR             X19, [X0]
0x5800L,ADD             X19, X19, X19,LSL#1
0x5804L,LDR             X2, [X23,#0x28]
0x5808L,UBFM            X19, X19, #0x3D, #0x3C
0x580cL,ADD             X2, X2, X19
0x5810L,LDR             X1, [X2,#8]
0x5814L,CBNZ            X1, loc_57D0
0x5818L,MOV             W1, #0
0x581cL,MOV             W0, W1
0x5820L,LDR             X25, [SP,#arg_40]
0x5824L,LDP             X19, X20, [SP,#arg_10]
0x5828L,LDP             X21, X22, [SP,#arg_20]
0x582cL,LDP             X23, X24, [SP,#arg_30]
0x5830L,LDP             X29, X30, [SP+arg_0],#0x50
0x5834L,RET
0x5924L,STR             X0, [X22,#8]
0x5928L,MOV             W1, #0xC
0x592cL,STR             X0, [X22]
0x5930L,MOV             W0, W1
0x5934L,LDP             X19, X20, [SP,#arg_10]
0x5938L,LDP             X21, X22, [SP,#arg_20]
0x593cL,LDP             X23, X24, [SP,#arg_30]
0x5940L,LDR             X25, [SP,#arg_40]
0x5944L,LDP             X29, X30, [SP+arg_0],#0x50
0x5948L,RET
0x58d8L,BL              sub_58D8
0x58dcL,MOV             X25, X0
0x58e0L,CBZ             X0, loc_5974
0x58e4L,LDR             X0, [X0]
0x58e8L,STR             X25, [X22,#0x10]
0x58ecL,CMP             X19, X0
0x58f0L,LDR             X2, [X22,#8]
0x58f4L,B.CS            loc_5888
0x58f8L,CBZ             X2, loc_590C
0x58fcL,ADD             X0, X25, #8
0x5900L,MOV             X1, X25
0x5904L,UBFM            X2, X2, #0x3D, #0x3C
0x5908L,BL              sub_5908
0x590cL,MOV             X2, #0
0x5910L,STR             X19, [X25,X2]
0x5914L,LDR             X0, [X22,#8]
0x5918L,ADD             X0, X0, #1
0x591cL,STR             X0, [X22,#8]
0x5920L,B               loc_57B8
0x597cL,STP             X29, X30, [SP,#-0x10+var_60]!
0x5980L,MOV             X29, SP
0x5984L,STP             X21, X22, [SP,#0x60+var_40]
0x5988L,MOV             X22, X0
0x598cL,LDR             X0, [X1,#8]
0x5990L,STR             X0, [X29,#0x60+var_8]
0x5994L,UBFM            X0, X0, #0x3D, #0x3C
0x5998L,STR             X25, [SP,#0x60+var_20]
0x599cL,STP             X19, X20, [SP,#0x60+var_50]
0x59a0L,STP             X23, X24, [SP,#0x60+var_30]
0x59a4L,MOV             X25, X1
0x59a8L,MOV             X20, X2
0x59acL,MOV             W19, W3
0x59b0L,STR             XZR, [X29,#0x60+var_s0]
0x59b4L,BL              sub_59B4
0x59b8L,STR             X0, [X29,#0x68]
0x59bcL,CBZ             X0, loc_5AC8
0x59c0L,LDR             X0, [X25,#8]
0x59c4L,MOV             X21, #0
0x59c8L,ADD             X24, X29, #0x58
0x59ccL,CBZ             X0, loc_5AE4
0x59d0L,LDR             X0, [X25,#0x10]
0x59d4L,LDR             X1, [X22,#0x30]
0x59d8L,LDR             X2, [X0,X21,LSL#3]
0x59dcL,ADD             X3, X2, X2,LSL#1
0x59e0L,ADD             X1, X1, X3,LSL#3
0x59e4L,LDR             X10, [X1,#8]
0x59e8L,CBZ             X10, loc_5A94
0x59ecL,LDR             X11, [X1,#0x10]
0x59f0L,MOV             X5, #0
0x59f4L,LDR             X9, [X22]
0x59f8L,B               loc_5A04
0x59fcL,CMP             X5, X10
0x5a00L,B.EQ            loc_5A94
0x5a04L,LDR             X7, [X11,X5,LSL#3]
0x5a08L,ADD             X5, X5, #1
0x5a0cL,UBFM            X6, X7, #0x3C, #0x3B
0x5a10L,ADD             X8, X9, X6
0x5a14L,LDRB            W8, [X8,#8]
0x5a18L,CMP             W19, W8
0x5a1cL,B.NE            loc_59FC
0x5a20L,LDR             X4, [X9,X6]
0x5a24L,CMP             X20, X4
0x5a28L,B.NE            loc_59FC
0x5a2cL,CMN             X7, #1
0x5a30L,B.EQ            loc_5A94
0x5a34L,MOV             X0, X22
0x5a38L,MOV             X1, X24
0x5a3cL,MOV             X3, X20
0x5a40L,MOV             W4, W19
0x5a44L,BL              check_arrival_expand_ecl_sub
0x5a48L,MOV             W23, W0
0x5a4cL,CBNZ            W0, loc_5AA4
0x5a50L,LDR             X0, [X25,#8]
0x5a54L,ADD             X21, X21, #1
0x5a58L,CMP             X0, X21
0x5a5cL,B.HI            loc_59D0
0x5a60L,LDR             X0, [X25,#0x10]
0x5a94L,MOV             X0, X24
0x5a98L,BL              re_node_set_merge
0x5a9cL,MOV             W23, W0
0x5aa0L,CBZ             W0, loc_5A50
0x5aa4L,LDR             X0, [X24,#0x10]
0x5ac8L,MOV             W0, #0xC
0x5accL,LDR             X25, [SP,#arg_40]
0x5ad0L,LDP             X19, X20, [SP,#arg_10]
0x5ad4L,LDP             X21, X22, [SP,#arg_20]
0x5ad8L,LDP             X23, X24, [SP,#arg_30]
0x5adcL,LDP             X29, X30, [SP+arg_0],#0x70
0x5ae0L,RET
0x5ae4L,ADD             X24, X29, #0x58
0x5ae8L,B               loc_5A60
0x5a64L,BL              sub_5A64
0x5a68L,LDR             X0, [X29,#0x68]
0x5a6cL,LDP             X2, X3, [X24]
0x5a70L,STR             X0, [X25,#0x10]
0x5a74L,MOV             W0, #0
0x5a78L,STP             X2, X3, [X25]
0x5a7cL,LDP             X19, X20, [SP,#arg_10]
0x5a80L,LDP             X21, X22, [SP,#arg_20]
0x5a84L,LDP             X23, X24, [SP,#arg_30]
0x5a88L,LDR             X25, [SP,#arg_40]
0x5a8cL,LDP             X29, X30, [SP+arg_0],#0x70
0x5a90L,RET
0x5aa8L,BL              sub_5AA8
0x5aacL,LDR             X25, [SP,#arg_40]
0x5ab0L,MOV             W0, W23
0x5ab4L,LDP             X19, X20, [SP,#arg_10]
0x5ab8L,LDP             X21, X22, [SP,#arg_20]
0x5abcL,LDP             X23, X24, [SP,#arg_30]
0x5ac0L,LDP             X29, X30, [SP+arg_0],#0x70
0x5ac4L,RET
0x5aecL,STP             X29, X30, [SP,#-0x10+var_70]!
0x5af0L,MOV             X29, SP
0x5af4L,STP             X23, X24, [SP,#0x70+var_40]
0x5af8L,STP             X25, X26, [SP,#0x70+var_30]
0x5afcL,MOV             X24, X0
0x5b00L,ADD             X26, X29, #0x68
0x5b04L,ADD             X23, X1, X1,LSL#1
0x5b08L,LDR             X0, [X0,#0x38]
0x5b0cL,STR             XZR, [X29,#0x70+var_s8]
0x5b10L,MOV             X25, X1
0x5b14L,ADD             X23, X0, X23,LSL#3
0x5b18L,STR             X27, [SP,#0x70+var_20]
0x5b1cL,STP             XZR, XZR, [X26]
0x5b20L,STP             X19, X20, [SP,#0x70+var_60]
0x5b24L,LDR             X10, [X23,#8]
0x5b28L,MOV             X20, X2
0x5b2cL,STP             X21, X22, [SP,#0x70+var_50]
0x5b30L,CBZ             X10, loc_5F24
0x5b34L,MOV             X19, #0
0x5b38L,ADD             X22, X3, #8
0x5b3cL,ADD             X21, X3, #0x10
0x5b40L,LDR             X7, [X23,#0x10]
0x5b44L,LDR             X4, [X7,X19,LSL#3]
0x5b48L,CMP             X4, X25
0x5b4cL,B.EQ            loc_5CAC
0x5b50L,LDR             X5, [X24]
0x5b54L,ADD             X5, X5, X4,LSL#4
0x5b58L,LDRB            W0, [X5,#8]
0x5b5cL,TBZ             W0, #3, loc_5CAC
0x5b60L,ADD             X4, X4, X4,LSL#1
0x5b64L,LDR             X0, [X24,#0x28]
0x5b68L,UBFM            X4, X4, #0x3D, #0x3C
0x5b6cL,ADD             X0, X0, X4
0x5b70L,LDR             X1, [X0,#8]
0x5b74L,LDR             X0, [X0,#0x10]
0x5b78L,CMP             X1, #1
0x5b7cL,LDR             X8, [X0]
0x5b80L,B.LS            loc_5E34
0x5b84L,LDR             X11, [X0,#8]
0x5b88L,SUB             X2, X10, #1
0x5b8cL,CMN             X2, #4
0x5b90L,B.HI            loc_5BE0
0x5b94L,MOV             X9, X2
0x5b98L,MOV             X6, #0
0x5b9cL,B               loc_5BA4
0x5ba0L,ADD             X6, X5, #1
0x5ba4L,CMP             X6, X9
0x5ba8L,B.CS            loc_5BD4
0x5bacL,ADD             X3, X9, X6
0x5bb0L,UBFM            X5, X3, #1, #0x3F
0x5bb4L,LDR             X3, [X7,X5,LSL#3]
0x5bb8L,CMP             X8, X3
0x5bbcL,B.HI            loc_5BA0
0x5bc0L,CMP             X6, X5
0x5bc4L,ADD             X3, X5, X6
0x5bc8L,MOV             X9, X5
0x5bccL,UBFM            X5, X3, #1, #0x3F
0x5bd0L,B.CC            loc_5BB4
0x5bd4L,LDR             X0, [X7,X6,LSL#3]
0x5bd8L,CMP             X8, X0
0x5bdcL,B.EQ            loc_5E48
0x5be0L,LDR             X0, [X20,#8]
0x5be4L,SUB             X0, X0, #1
0x5be8L,CMN             X0, #4
0x5becL,B.HI            loc_5C40
0x5bf0L,LDR             X1, [X20,#0x10]
0x5bf4L,MOV             X3, X0
0x5bf8L,MOV             X6, #0
0x5bfcL,B               loc_5C04
0x5c00L,ADD             X6, X5, #1
0x5c04L,CMP             X6, X3
0x5c08L,B.CS            loc_5C34
0x5c0cL,ADD             X9, X3, X6
0x5c10L,UBFM            X5, X9, #1, #0x3F
0x5c14L,LDR             X9, [X1,X5,LSL#3]
0x5c18L,CMP             X8, X9
0x5c1cL,B.HI            loc_5C00
0x5c20L,CMP             X6, X5
0x5c24L,ADD             X9, X5, X6
0x5c28L,MOV             X3, X5
0x5c2cL,UBFM            X5, X9, #1, #0x3F
0x5c30L,B.CC            loc_5C14
0x5c34L,LDR             X1, [X1,X6,LSL#3]
0x5c38L,CMP             X8, X1
0x5c3cL,B.EQ            loc_5EA0
0x5c40L,SUB             X1, X11, #1
0x5c44L,CMN             X1, #4
0x5c48L,B.HI            loc_5CAC
0x5c4cL,CMN             X2, #4
0x5c50L,B.HI            loc_5DD0
0x5c54L,MOV             X3, #0
0x5c58L,B               loc_5C60
0x5c5cL,ADD             X3, X5, #1
0x5c60L,CMP             X2, X3
0x5c64L,B.LS            loc_5C90
0x5c68L,ADD             X0, X3, X2
0x5c6cL,UBFM            X5, X0, #1, #0x3F
0x5c70L,LDR             X0, [X7,X5,LSL#3]
0x5c74L,CMP             X11, X0
0x5c78L,B.HI            loc_5C5C
0x5c7cL,CMP             X3, X5
0x5c80L,ADD             X0, X5, X3
0x5c84L,MOV             X2, X5
0x5c88L,UBFM            X5, X0, #1, #0x3F
0x5c8cL,B.CC            loc_5C70
0x5c90L,LDR             X0, [X7,X3,LSL#3]
0x5c94L,CMP             X11, X0
0x5c98L,B.EQ            loc_5EE4
0x5c9cL,LDR             X2, [X20,#8]
0x5ca0L,SUB             X2, X2, #1
0x5ca4L,CMN             X2, #4
0x5ca8L,B.LS            loc_5DDC
0x5cacL,ADD             X19, X19, #1
0x5cb0L,CMP             X19, X10
0x5cb4L,B.CC            loc_5B40
0x5cb8L,LDR             X0, [X29,#arg_68]
0x5cbcL,CBZ             X10, sub_5DAC
0x5cc0L,LDR             X9, [X23,#0x10]
0x5cc4L,MOV             X7, #0
0x5cc8L,LDR             X0, [X29,#arg_68]
0x5cccL,LDR             X4, [X29,#arg_60]
0x5cd0L,MOV             X3, #0
0x5cd4L,LDR             X5, [X9,X7,LSL#3]
0x5cd8L,SUB             X4, X4, #1
0x5cdcL,CMN             X4, #4
0x5ce0L,B.HI            loc_5D38
0x5ce4L,CMP             X3, X4
0x5ce8L,B.CS            loc_5D2C
0x5cecL,ADD             X6, X4, X3
0x5cf0L,UBFM            X1, X6, #1, #0x3F
0x5cf4L,LDR             X6, [X0,X1,LSL#3]
0x5cf8L,CMP             X5, X6
0x5cfcL,B.HI            loc_5D20
0x5d00L,CMP             X3, X1
0x5d04L,ADD             X6, X1, X3
0x5d08L,MOV             X4, X1
0x5d0cL,UBFM            X1, X6, #1, #0x3F
0x5d10L,B.CS            loc_5D2C
0x5d14L,LDR             X2, [X0,X1,LSL#3]
0x5d18L,CMP             X5, X2
0x5d1cL,B.LS            loc_5D00
0x5d20L,ADD             X3, X1, #1
0x5d24L,CMP             X3, X4
0x5d28L,B.CC            loc_5CEC
0x5d2cL,LDR             X1, [X0,X3,LSL#3]
0x5d30L,CMP             X5, X1
0x5d34L,B.EQ            loc_5E3C
0x5d38L,LDR             X11, [X20,#8]
0x5d3cL,SUB             X8, X11, #1
0x5d40L,CMN             X8, #4
0x5d44L,B.HI            loc_5DA0
0x5d48L,LDR             X4, [X20,#0x10]
0x5d4cL,MOV             X2, X8
0x5d50L,MOV             X1, #0
0x5d54L,B               loc_5D5C
0x5d58L,ADD             X1, X3, #1
0x5d5cL,CMP             X2, X1
0x5d60L,B.LS            loc_5D8C
0x5d64L,ADD             X6, X1, X2
0x5d68L,UBFM            X3, X6, #1, #0x3F
0x5d6cL,LDR             X6, [X4,X3,LSL#3]
0x5d70L,CMP             X5, X6
0x5d74L,B.HI            loc_5D58
0x5d78L,CMP             X1, X3
0x5d7cL,ADD             X6, X3, X1
0x5d80L,MOV             X2, X3
0x5d84L,UBFM            X3, X6, #1, #0x3F
0x5d88L,B.CC            loc_5D6C
0x5d8cL,UBFM            X3, X1, #0x3D, #0x3C
0x5d90L,LDR             X2, [X4,X3]
0x5d94L,ADD             X3, X4, X3
0x5d98L,CMP             X5, X2
0x5d9cL,B.EQ            loc_5E6C
0x5da0L,ADD             X7, X7, #1
0x5da4L,CMP             X7, X10
0x5da8L,B.CC            loc_5CCC
0x5dd0L,MOV             X2, X0
0x5dd4L,CMN             X2, #4
0x5dd8L,B.HI            loc_5CAC
0x5ddcL,LDR             X3, [X20,#0x10]
0x5de0L,MOV             X1, #0
0x5de4L,B               loc_5DEC
0x5de8L,ADD             X1, X0, #1
0x5decL,CMP             X1, X2
0x5df0L,B.CS            loc_5E1C
0x5df4L,ADD             X5, X2, X1
0x5df8L,UBFM            X0, X5, #1, #0x3F
0x5dfcL,LDR             X5, [X3,X0,LSL#3]
0x5e00L,CMP             X11, X5
0x5e04L,B.HI            loc_5DE8
0x5e08L,CMP             X1, X0
0x5e0cL,ADD             X5, X0, X1
0x5e10L,MOV             X2, X0
0x5e14L,UBFM            X0, X5, #1, #0x3F
0x5e18L,B.CC            loc_5DFC
0x5e1cL,LDR             X0, [X3,X1,LSL#3]
0x5e20L,CMP             X11, X0
0x5e24L,B.NE            loc_5CAC
0x5e28L,CMN             X1, #1
0x5e2cL,B.NE            loc_5EA8
0x5e30L,B               loc_5CAC
0x5e34L,MOV             X11, #0xFFFFFFFFFFFFFFFF
0x5e38L,B               loc_5B88
0x5e3cL,CMN             X3, #1
0x5e40L,B.NE            loc_5DA0
0x5e44L,B               loc_5D38
0x5e48L,CMN             X6, #1
0x5e4cL,B.EQ            loc_5BE0
0x5e50L,SUB             X0, X11, #1
0x5e54L,CMN             X0, #4
0x5e58L,B.LS            loc_5C54
0x5e5cL,ADD             X19, X19, #1
0x5e60L,CMP             X19, X10
0x5e64L,B.CC            loc_5B40
0x5e68L,B               loc_5CB8
0x5e6cL,CMP             X11, X1
0x5e70L,B.LS            loc_5DA0
0x5e74L,STR             X8, [X20,#8]
0x5e78L,CMP             X8, X1
0x5e7cL,B.LS            loc_5E98
0x5e80L,LDR             X2, [X3,#8]
0x5e84L,ADD             X1, X1, #1
0x5e88L,STR             X2, [X3],#8
0x5e8cL,LDR             X2, [X20,#8]
0x5e90L,CMP             X1, X2
0x5e94L,B.CC            loc_5E80
0x5e98L,LDR             X10, [X23,#8]
0x5e9cL,B               loc_5DA0
0x5ea0L,CMN             X6, #1
0x5ea4L,B.EQ            loc_5C40
0x5ea8L,LDR             X3, [X24,#0x38]
0x5eacL,MOV             X0, X26
0x5eb0L,MOV             X1, X22
0x5eb4L,MOV             X2, X21
0x5eb8L,ADD             X4, X3, X4
0x5ebcL,ADD             X3, X4, #8
0x5ec0L,ADD             X4, X4, #0x10
0x5ec4L,BL              re_node_set_add_intersect.isra.19
0x5ec8L,MOV             W27, W0
0x5eccL,CBNZ            W0, loc_5EFC
0x5ed0L,LDR             X10, [X23,#8]
0x5ed4L,ADD             X19, X19, #1
0x5ed8L,CMP             X19, X10
0x5edcL,B.CC            loc_5B40
0x5ee0L,B               loc_5CB8
0x5ee4L,CMN             X3, #1
0x5ee8L,B.EQ            loc_5C9C
0x5eecL,ADD             X19, X19, #1
0x5ef0L,CMP             X19, X10
0x5ef4L,B.CC            loc_5B40
0x5ef8L,B               loc_5CB8
0x5efcL,LDR             X0, [X26,#0x10]
0x5f24L,MOV             X0, X10
0x5f28L,B               sub_5DAC
0x5dacL,BL              sub_5DAC
0x5db0L,LDR             X27, [SP,#arg_50]
0x5db4L,MOV             W0, #0
0x5db8L,LDP             X19, X20, [SP,#arg_10]
0x5dbcL,LDP             X21, X22, [SP,#arg_20]
0x5dc0L,LDP             X23, X24, [SP,#arg_30]
0x5dc4L,LDP             X25, X26, [SP,#arg_40]
0x5dc8L,LDP             X29, X30, [SP+arg_0],#0x80
0x5dccL,RET
0x5f00L,BL              sub_5F00
0x5f04L,MOV             W0, W27
0x5f08L,LDR             X27, [SP,#arg_50]
0x5f0cL,LDP             X19, X20, [SP,#arg_10]
0x5f10L,LDP             X21, X22, [SP,#arg_20]
0x5f14L,LDP             X23, X24, [SP,#arg_30]
0x5f18L,LDP             X25, X26, [SP,#arg_40]
0x5f1cL,LDP             X29, X30, [SP+arg_0],#0x80
0x5f20L,RET
0x5f2cL,STP             X29, X30, [SP,#-0x10+var_40]!
0x5f30L,MOV             X29, SP
0x5f34L,LDR             X7, [X2,#8]
0x5f38L,STP             X19, X20, [SP,#0x40+var_30]
0x5f3cL,STP             X21, X22, [SP,#0x40+var_20]
0x5f40L,STP             X23, X24, [SP,#0x40+var_10]
0x5f44L,STR             X25, [SP,#0x40+var_s0]
0x5f48L,CBZ             X7, loc_62D8
0x5f4cL,LDR             X13, [X2,#0x10]
0x5f50L,UBFM            X3, X13, #3, #3
0x5f54L,CMP             X3, X7
0x5f58L,CSEL            X3, X3, X7, LS
0x5f5cL,CMP             X7, #6
0x5f60L,B.HI            loc_6270
0x5f64L,LDR             X19, [X13]
0x5f68L,CMP             X7, #1
0x5f6cL,ADD             X19, X7, X19
0x5f70L,B.EQ            loc_62CC
0x5f74L,LDR             X3, [X13,#8]
0x5f78L,CMP             X7, #2
0x5f7cL,ADD             X19, X19, X3
0x5f80L,B.EQ            loc_62CC
0x5f84L,LDR             X3, [X13,#0x10]
0x5f88L,CMP             X7, #3
0x5f8cL,ADD             X19, X19, X3
0x5f90L,B.EQ            loc_62CC
0x5f94L,LDR             X3, [X13,#0x18]
0x5f98L,CMP             X7, #4
0x5f9cL,ADD             X19, X19, X3
0x5fa0L,B.EQ            loc_62CC
0x5fa4L,LDR             X3, [X13,#0x20]
0x5fa8L,CMP             X7, #6
0x5facL,ADD             X19, X19, X3
0x5fb0L,B.NE            loc_62FC
0x5fb4L,LDR             X4, [X13,#0x28]
0x5fb8L,MOV             X3, X7
0x5fbcL,MOV             X6, X7
0x5fc0L,ADD             X19, X19, X4
0x5fc4L,CMP             X7, X3
0x5fc8L,B.EQ            loc_5FF0
0x5fccL,SUB             X8, X7, X3
0x5fd0L,SUB             X4, X8, #2
0x5fd4L,CMP             X8, #1
0x5fd8L,UBFM            X5, X4, #1, #0x3F
0x5fdcL,ADD             X5, X5, #1
0x5fe0L,UBFM            X9, X5, #0x3F, #0x3E
0x5fe4L,B.NE            loc_6290
0x5fe8L,LDR             X3, [X13,X6,LSL#3]
