0x0L,push    rbp
0x12780L,jnz     short loc_127BB
0x12782L,mov     rdx, [rbp+var_20]
0x12786L,lea     rax, [rbp+var_40]
0x1278aL,mov     rsi, rdx
0x1278dL,mov     rdi, rax
0x12790L,call    re_node_set_merge
0x12795L,mov     [rbp+var_C], eax
0x12798L,cmp     [rbp+var_C], 0
0x1279cL,setnz   al
0x1279fL,movzx   eax, al
0x127a2L,test    rax, rax
0x127a5L,jz      short loc_127FC
0x127a7L,mov     rax, [rbp+ptr]
0x127abL,mov     rdi, rax        ; ptr
0x127aeL,call    free
0x127b3L,mov     eax, [rbp+var_C]
0x127b6L,jmp     locret_12843
0x127bbL,mov     edi, [rbp+var_5C]
0x127beL,mov     rcx, [rbp+var_58]
0x127c2L,mov     rdx, [rbp+var_18]
0x127c6L,lea     rsi, [rbp+var_40]
0x127caL,mov     rax, [rbp+var_48]
0x127ceL,mov     r8d, edi
0x127d1L,mov     rdi, rax
0x127d4L,call    check_arrival_expand_ecl_sub
0x127d9L,mov     [rbp+var_C], eax
0x127dcL,cmp     [rbp+var_C], 0
0x127e0L,setnz   al
0x127e3L,movzx   eax, al
0x127e6L,test    rax, rax
0x127e9L,jz      short loc_127FC
0x127ebL,mov     rax, [rbp+ptr]
0x127efL,mov     rdi, rax        ; ptr
0x127f2L,call    free
0x127f7L,mov     eax, [rbp+var_C]
0x127faL,jmp     short locret_12843
0x127fcL,add     [rbp+var_8], 1
0x12801L,mov     rax, [rbp+var_50]
0x12805L,mov     rax, [rax+8]
0x12809L,cmp     rax, [rbp+var_8]
0x1280dL,ja      loc_12726
0x12813L,mov     rax, [rbp+var_50]
0x12817L,mov     rax, [rax+10h]
0x1281bL,mov     rdi, rax        ; ptr
0x1281eL,call    free
0x12823L,mov     rax, [rbp+var_50]
0x12827L,mov     rdx, [rbp+var_40]
0x1282bL,mov     [rax], rdx
0x1282eL,mov     rdx, [rbp+var_38]
0x12832L,mov     [rax+8], rdx
0x12836L,mov     rdx, [rbp+ptr]
0x1283aL,mov     [rax+10h], rdx
0x1283eL,mov     eax, 0
0x12843L,leave
0x12844L,retn
0x12845L,push    rbp
0x12846L,mov     rbp, rsp
0x12849L,sub     rsp, 40h
0x1284dL,mov     [rbp+var_18], rdi
0x12851L,mov     [rbp+var_20], rsi
0x12855L,mov     [rbp+var_28], rdx
0x12859L,mov     [rbp+var_30], rcx
0x1285dL,mov     [rbp+var_34], r8d
0x12861L,mov     rax, [rbp+var_28]
0x12865L,mov     [rbp+var_8], rax
0x12869L,jmp     loc_129E1
0x1286eL,mov     rax, [rbp+var_18]
0x12872L,mov     rax, [rax]
0x12875L,mov     rdx, [rbp+var_8]
0x12879L,shl     rdx, 4
0x1287dL,add     rax, rdx
0x12880L,movzx   eax, byte ptr [rax+8]
0x12884L,movzx   eax, al
0x12887L,cmp     eax, [rbp+var_34]
0x1288aL,jnz     short loc_128E4
0x1288cL,mov     rax, [rbp+var_18]
0x12890L,mov     rax, [rax]
0x12893L,mov     rdx, [rbp+var_8]
0x12897L,shl     rdx, 4
0x1289bL,add     rax, rdx
0x1289eL,mov     rax, [rax]
0x128a1L,cmp     rax, [rbp+var_30]
0x128a5L,jnz     short loc_128E4
0x128a7L,cmp     [rbp+var_34], 9
0x128abL,jnz     loc_129FF
0x128b1L,mov     rdx, [rbp+var_8]
0x128b5L,mov     rax, [rbp+var_20]
0x128b9L,mov     rsi, rdx
0x128bcL,mov     rdi, rax
0x128bfL,call    re_node_set_insert
0x128c4L,mov     [rbp+var_9], al
0x128c7L,movzx   eax, [rbp+var_9]
0x128cbL,xor     eax, 1
0x128ceL,movzx   eax, al
0x128d1L,test    rax, rax
0x128d4L,jz      loc_129FF
0x128daL,mov     eax, 0Ch
0x128dfL,jmp     locret_12A08
0x128e4L,mov     rdx, [rbp+var_8]
0x128e8L,mov     rax, [rbp+var_20]
0x128ecL,mov     rsi, rdx
0x128efL,mov     rdi, rax
0x128f2L,call    re_node_set_insert
0x128f7L,mov     [rbp+var_9], al
0x128faL,movzx   eax, [rbp+var_9]
0x128feL,xor     eax, 1
0x12901L,movzx   eax, al
0x12904L,test    rax, rax
0x12907L,jz      short loc_12913
0x12909L,mov     eax, 0Ch
0x1290eL,jmp     locret_12A08
0x12913L,mov     rax, [rbp+var_18]
0x12917L,mov     rcx, [rax+28h]
0x1291bL,mov     rdx, [rbp+var_8]
0x1291fL,mov     rax, rdx
0x12922L,add     rax, rax
0x12925L,add     rax, rdx
0x12928L,shl     rax, 3
0x1292cL,add     rax, rcx
0x1292fL,mov     rax, [rax+8]
0x12933L,test    rax, rax
0x12936L,jz      loc_12A02
0x1293cL,mov     rax, [rbp+var_18]
0x12940L,mov     rcx, [rax+28h]
0x12944L,mov     rdx, [rbp+var_8]
0x12948L,mov     rax, rdx
0x1294bL,add     rax, rax
0x1294eL,add     rax, rdx
0x12951L,shl     rax, 3
0x12955L,add     rax, rcx
0x12958L,mov     rax, [rax+8]
0x1295cL,cmp     rax, 2
0x12960L,jnz     short loc_129BA
0x12962L,mov     rax, [rbp+var_18]
0x12966L,mov     rcx, [rax+28h]
0x1296aL,mov     rdx, [rbp+var_8]
0x1296eL,mov     rax, rdx
0x12971L,add     rax, rax
0x12974L,add     rax, rdx
0x12977L,shl     rax, 3
0x1297bL,add     rax, rcx
0x1297eL,mov     rax, [rax+10h]
0x12982L,add     rax, 8
0x12986L,mov     rdx, [rax]
0x12989L,mov     edi, [rbp+var_34]
0x1298cL,mov     rcx, [rbp+var_30]
0x12990L,mov     rsi, [rbp+var_20]
0x12994L,mov     rax, [rbp+var_18]
0x12998L,mov     r8d, edi
0x1299bL,mov     rdi, rax
0x1299eL,call    check_arrival_expand_ecl_sub
0x129a3L,mov     [rbp+var_10], eax
0x129a6L,cmp     [rbp+var_10], 0
0x129aaL,setnz   al
0x129adL,movzx   eax, al
0x129b0L,test    rax, rax
0x129b3L,jz      short loc_129BA
0x129b5L,mov     eax, [rbp+var_10]
0x129b8L,jmp     short locret_12A08
0x129baL,mov     rax, [rbp+var_18]
0x129beL,mov     rcx, [rax+28h]
0x129c2L,mov     rdx, [rbp+var_8]
0x129c6L,mov     rax, rdx
0x129c9L,add     rax, rax
0x129ccL,add     rax, rdx
0x129cfL,shl     rax, 3
0x129d3L,add     rax, rcx
0x129d6L,mov     rax, [rax+10h]
0x129daL,mov     rax, [rax]
0x129ddL,mov     [rbp+var_8], rax
0x129e1L,mov     rdx, [rbp+var_8]
0x129e5L,mov     rax, [rbp+var_20]
0x129e9L,mov     rsi, rdx
0x129ecL,mov     rdi, rax
0x129efL,call    re_node_set_contains
0x129f4L,test    rax, rax
0x129f7L,jz      loc_1286E
0x129fdL,jmp     short loc_12A03
0x129ffL,nop
0x12a00L,jmp     short loc_12A03
0x12a02L,nop
0x12a03L,mov     eax, 0
0x12a08L,leave
0x12a09L,retn
0x12a0aL,push    rbp
0x12a0bL,mov     rbp, rsp
0x12a0eL,push    rbx
0x12a0fL,sub     rsp, 0A8h
0x12a16L,mov     [rbp+var_88], rdi
0x12a1dL,mov     [rbp+var_90], rsi
0x12a24L,mov     [rbp+var_98], rdx
0x12a2bL,mov     [rbp+var_A0], rcx
0x12a32L,mov     [rbp+var_A4], r8d
0x12a39L,mov     rax, [rbp+var_88]
0x12a40L,mov     rax, [rax+98h]
0x12a47L,mov     [rbp+var_20], rax
0x12a4bL,mov     rdx, [rbp+var_98]
0x12a52L,mov     rax, [rbp+var_88]
0x12a59L,mov     rsi, rdx
0x12a5cL,mov     rdi, rax
0x12a5fL,call    search_cur_bkref_entry
0x12a64L,mov     [rbp+var_28], rax
0x12a68L,cmp     [rbp+var_28], 0FFFFFFFFFFFFFFFFh
0x12a6dL,jnz     short loc_12A79
0x12a6fL,mov     eax, 0
0x12a74L,jmp     loc_12DDC
0x12a79L,mov     rax, [rbp+var_88]
0x12a80L,mov     rcx, [rax+0D8h]
0x12a87L,mov     rdx, [rbp+var_28]
0x12a8bL,mov     rax, rdx
0x12a8eL,shl     rax, 2
0x12a92L,add     rax, rdx
0x12a95L,shl     rax, 3
0x12a99L,add     rax, rcx
0x12a9cL,mov     [rbp+var_18], rax
0x12aa0L,mov     rax, [rbp+var_18]
0x12aa4L,mov     rdx, [rax]
0x12aa7L,mov     rax, [rbp+var_90]
0x12aaeL,mov     rsi, rdx
0x12ab1L,mov     rdi, rax
0x12ab4L,call    re_node_set_contains
0x12ab9L,test    rax, rax
0x12abcL,jz      loc_12DB8
0x12ac2L,mov     rax, [rbp+var_18]
0x12ac6L,mov     rdx, [rax+18h]
0x12acaL,mov     rax, [rbp+var_98]
0x12ad1L,add     rdx, rax
0x12ad4L,mov     rax, [rbp+var_18]
0x12ad8L,mov     rax, [rax+10h]
0x12adcL,sub     rdx, rax
0x12adfL,mov     rax, rdx
0x12ae2L,mov     [rbp+var_30], rax
0x12ae6L,mov     rax, [rbp+var_30]
0x12aeaL,cmp     rax, [rbp+var_98]
0x12af1L,jnz     loc_12C02
0x12af7L,mov     rax, [rbp+var_20]
0x12afbL,mov     rcx, [rax+28h]
0x12affL,mov     rax, [rbp+var_18]
0x12b03L,mov     rdx, [rax]
0x12b06L,mov     rax, rdx
0x12b09L,add     rax, rax
0x12b0cL,add     rax, rdx
0x12b0fL,shl     rax, 3
0x12b13L,add     rax, rcx
0x12b16L,mov     rax, [rax+10h]
0x12b1aL,mov     rax, [rax]
0x12b1dL,mov     [rbp+var_38], rax
0x12b21L,mov     rdx, [rbp+var_38]
0x12b25L,mov     rax, [rbp+var_90]
0x12b2cL,mov     rsi, rdx
0x12b2fL,mov     rdi, rax
0x12b32L,call    re_node_set_contains
0x12b37L,test    rax, rax
0x12b3aL,jnz     loc_12DBB
0x12b40L,mov     rdx, [rbp+var_38]
0x12b44L,lea     rax, [rbp+var_60]
0x12b48L,mov     rsi, rdx
0x12b4bL,mov     rdi, rax
0x12b4eL,call    re_node_set_init_1
0x12b53L,mov     [rbp+var_48], eax
0x12b56L,mov     ecx, [rbp+var_A4]
0x12b5cL,mov     rdx, [rbp+var_A0]
0x12b63L,lea     rsi, [rbp+var_60]
0x12b67L,mov     rax, [rbp+var_20]
0x12b6bL,mov     rdi, rax
0x12b6eL,call    check_arrival_expand_ecl
0x12b73L,mov     [rbp+var_40], eax
0x12b76L,lea     rdx, [rbp+var_60]
0x12b7aL,mov     rax, [rbp+var_90]
0x12b81L,mov     rsi, rdx
0x12b84L,mov     rdi, rax
0x12b87L,call    re_node_set_merge
0x12b8cL,mov     [rbp+var_44], eax
0x12b8fL,mov     rax, [rbp+ptr]
0x12b93L,mov     rdi, rax        ; ptr
0x12b96L,call    free
0x12b9bL,mov     eax, [rbp+var_48]
0x12b9eL,test    eax, eax
0x12ba0L,setnz   al
0x12ba3L,movzx   eax, al
0x12ba6L,test    rax, rax
0x12ba9L,jnz     short loc_12BBA
0x12babL,cmp     [rbp+var_40], 0
0x12bafL,setnz   al
0x12bb2L,movzx   eax, al
0x12bb5L,test    rax, rax
0x12bb8L,jz      short loc_12BC1
0x12bbaL,mov     eax, 1
0x12bbfL,jmp     short loc_12BC6
0x12bc1L,mov     eax, 0
0x12bc6L,test    eax, eax
0x12bc8L,jnz     short loc_12BDD
0x12bcaL,cmp     [rbp+var_44], 0
0x12bceL,setnz   al
0x12bd1L,movzx   eax, al
0x12bd4L,test    rax, rax
0x12bd7L,jz      loc_12A79
0x12bddL,mov     eax, [rbp+var_48]
0x12be0L,test    eax, eax
0x12be2L,jnz     short loc_12BF4
0x12be4L,cmp     [rbp+var_40], 0
0x12be8L,jz      short loc_12BEF
0x12beaL,mov     eax, [rbp+var_40]
0x12bedL,jmp     short loc_12BF7
0x12befL,mov     eax, [rbp+var_44]
0x12bf2L,jmp     short loc_12BF7
0x12bf4L,mov     eax, [rbp+var_48]
0x12bf7L,mov     [rbp+var_48], eax
0x12bfaL,mov     eax, [rbp+var_48]
0x12bfdL,jmp     loc_12DDC
0x12c02L,mov     rax, [rbp+var_20]
0x12c06L,mov     rdx, [rax+18h]
0x12c0aL,mov     rax, [rbp+var_18]
0x12c0eL,mov     rax, [rax]
0x12c11L,shl     rax, 3
0x12c15L,add     rax, rdx
0x12c18L,mov     rax, [rax]
0x12c1bL,mov     [rbp+var_38], rax
0x12c1fL,mov     rax, [rbp+var_88]
0x12c26L,mov     rax, [rax+0B8h]
0x12c2dL,mov     rdx, [rbp+var_30]
0x12c31L,shl     rdx, 3
0x12c35L,add     rax, rdx
0x12c38L,mov     rax, [rax]
0x12c3bL,test    rax, rax
0x12c3eL,jz      loc_12D0B
0x12c44L,mov     rax, [rbp+var_88]
0x12c4bL,mov     rax, [rax+0B8h]
0x12c52L,mov     rdx, [rbp+var_30]
0x12c56L,shl     rdx, 3
0x12c5aL,add     rax, rdx
0x12c5dL,mov     rax, [rax]
0x12c60L,lea     rdx, [rax+8]
0x12c64L,mov     rax, [rbp+var_38]
0x12c68L,mov     rsi, rax
0x12c6bL,mov     rdi, rdx
0x12c6eL,call    re_node_set_contains
0x12c73L,test    rax, rax
0x12c76L,jnz     loc_12DBE
0x12c7cL,mov     rax, [rbp+var_88]
0x12c83L,mov     rax, [rax+0B8h]
0x12c8aL,mov     rdx, [rbp+var_30]
0x12c8eL,shl     rdx, 3
0x12c92L,add     rax, rdx
0x12c95L,mov     rax, [rax]
0x12c98L,lea     rdx, [rax+8]
0x12c9cL,lea     rax, [rbp+var_80]
0x12ca0L,mov     rsi, rdx
0x12ca3L,mov     rdi, rax
0x12ca6L,call    re_node_set_init_copy
0x12cabL,mov     [rbp+var_48], eax
0x12caeL,mov     rdx, [rbp+var_38]
0x12cb2L,lea     rax, [rbp+var_80]
0x12cb6L,mov     rsi, rdx
0x12cb9L,mov     rdi, rax
0x12cbcL,call    re_node_set_insert
0x12cc1L,mov     [rbp+var_39], al
0x12cc4L,mov     eax, [rbp+var_48]
0x12cc7L,test    eax, eax
0x12cc9L,setnz   al
0x12cccL,movzx   eax, al
0x12ccfL,test    rax, rax
0x12cd2L,jnz     short loc_12CE3
0x12cd4L,movzx   eax, [rbp+var_39]
0x12cd8L,xor     eax, 1
0x12cdbL,movzx   eax, al
0x12cdeL,test    rax, rax
0x12ce1L,jz      short loc_12D39
0x12ce3L,mov     rax, [rbp+var_70]
0x12ce7L,mov     rdi, rax        ; ptr
0x12ceaL,call    free
0x12cefL,mov     eax, [rbp+var_48]
0x12cf2L,test    eax, eax
0x12cf4L,jz      short loc_12CFB
0x12cf6L,mov     eax, [rbp+var_48]
0x12cf9L,jmp     short loc_12D00
0x12cfbL,mov     eax, 0Ch
0x12d00L,mov     [rbp+var_48], eax
0x12d03L,mov     eax, [rbp+var_48]
0x12d06L,jmp     loc_12DDC
0x12d0bL,mov     rdx, [rbp+var_38]
0x12d0fL,lea     rax, [rbp+var_80]
0x12d13L,mov     rsi, rdx
0x12d16L,mov     rdi, rax
0x12d19L,call    re_node_set_init_1
0x12d1eL,mov     [rbp+var_48], eax
0x12d21L,mov     eax, [rbp+var_48]
0x12d24L,test    eax, eax
0x12d26L,setnz   al
0x12d29L,movzx   eax, al
0x12d2cL,test    rax, rax
0x12d2fL,jz      short loc_12D39
0x12d31L,mov     eax, [rbp+var_48]
0x12d34L,jmp     loc_12DDC
0x12d39L,mov     rax, [rbp+var_88]
0x12d40L,mov     rax, [rax+0B8h]
0x12d47L,mov     rdx, [rbp+var_30]
0x12d4bL,shl     rdx, 3
0x12d4fL,lea     rbx, [rax+rdx]
0x12d53L,lea     rdx, [rbp+var_80]
0x12d57L,mov     rcx, [rbp+var_20]
0x12d5bL,lea     rax, [rbp+var_48]
0x12d5fL,mov     rsi, rcx
0x12d62L,mov     rdi, rax
0x12d65L,call    re_acquire_state
0x12d6aL,mov     [rbx], rax
0x12d6dL,mov     rax, [rbp+var_70]
0x12d71L,mov     rdi, rax        ; ptr
0x12d74L,call    free
0x12d79L,mov     rax, [rbp+var_88]
0x12d80L,mov     rax, [rax+0B8h]
0x12d87L,mov     rdx, [rbp+var_30]
0x12d8bL,shl     rdx, 3
0x12d8fL,add     rax, rdx
0x12d92L,mov     rax, [rax]
0x12d95L,test    rax, rax
0x12d98L,setz    al
0x12d9bL,movzx   eax, al
0x12d9eL,test    rax, rax
0x12da1L,jz      short loc_12DBF
0x12da3L,mov     eax, [rbp+var_48]
0x12da6L,test    eax, eax
0x12da8L,setnz   al
0x12dabL,movzx   eax, al
0x12daeL,test    rax, rax
0x12db1L,jz      short loc_12DBF
0x12db3L,mov     eax, [rbp+var_48]
0x12db6L,jmp     short loc_12DDC
0x12db8L,nop
0x12db9L,jmp     short loc_12DBF
0x12dbbL,nop
0x12dbcL,jmp     short loc_12DBF
0x12dbeL,nop
0x12dbfL,mov     rax, [rbp+var_18]
0x12dc3L,lea     rdx, [rax+28h]
0x12dc7L,mov     [rbp+var_18], rdx
0x12dcbL,movzx   eax, byte ptr [rax+20h]
0x12dcfL,test    al, al
0x12dd1L,jnz     loc_12AA0
0x12dd7L,mov     eax, 0
0x12ddcL,add     rsp, 0A8h
0x12de3L,pop     rbx
0x12de4L,pop     rbp
0x12de5L,retn
0x12de6L,push    rbp
0x12de7L,mov     rbp, rsp
0x12deaL,push    rbx
0x12debL,sub     rsp, 0D8h
0x12df2L,mov     [rbp+var_D8], rdi
0x12df9L,mov     [rbp+var_E0], rsi
0x12e00L,mov     [rbp+var_25], 0
0x12e04L,mov     [rbp+var_51], 0
0x12e08L,mov     [rbp+var_39], 0
0x12e0cL,mov     [rbp+var_50], 0
0x12e14L,mov     edi, 3800h      ; size
0x12e19L,call    malloc
0x12e1eL,mov     [rbp+ptr], rax
0x12e22L,cmp     [rbp+ptr], 0
0x12e27L,setz    al
0x12e2aL,movzx   eax, al
0x12e2dL,test    rax, rax
0x12e30L,jz      short loc_12E3C
0x12e32L,mov     eax, 0
0x12e37L,jmp     loc_137ED
0x12e3cL,mov     [rbp+var_51], 1
0x12e40L,mov     rax, [rbp+ptr]
0x12e44L,mov     [rbp+var_68], rax
0x12e48L,mov     rax, [rbp+ptr]
0x12e4cL,add     rax, 1800h
0x12e52L,mov     [rbp+var_70], rax
0x12e56L,mov     rax, [rbp+var_E0]
0x12e5dL,mov     qword ptr [rax+58h], 0
0x12e65L,mov     rax, [rbp+var_E0]
0x12e6cL,mov     rdx, [rax+58h]
0x12e70L,mov     rax, [rbp+var_E0]
0x12e77L,mov     [rax+60h], rdx
0x12e7bL,mov     rcx, [rbp+var_70]
0x12e7fL,mov     rdx, [rbp+var_68]
0x12e83L,mov     rsi, [rbp+var_E0]
0x12e8aL,mov     rax, [rbp+var_D8]
0x12e91L,mov     rdi, rax
0x12e94L,call    group_nodes_into_DFAstates
0x12e99L,mov     [rbp+var_78], rax
0x12e9dL,mov     rax, [rbp+var_78]
0x12ea1L,sub     rax, 1
0x12ea5L,cmp     rax, 0FFFFFFFFFFFFFFFCh
0x12ea9L,setnbe  al
0x12eacL,movzx   eax, al
0x12eafL,test    rax, rax
0x12eb2L,jz      short loc_12EFE
0x12eb4L,cmp     [rbp+var_51], 0
0x12eb8L,jz      short loc_12EC6
0x12ebaL,mov     rax, [rbp+ptr]
0x12ebeL,mov     rdi, rax        ; ptr
0x12ec1L,call    free
0x12ec6L,cmp     [rbp+var_78], 0
0x12ecbL,jnz     short loc_12EF4
0x12ecdL,mov     esi, 100h       ; size
0x12ed2L,mov     edi, 8          ; nmemb
0x12ed7L,call    calloc
0x12edcL,mov     rdx, rax
0x12edfL,mov     rax, [rbp+var_E0]
0x12ee6L,mov     [rax+58h], rdx
0x12eeaL,mov     eax, 1
0x12eefL,jmp     loc_137ED
0x12ef4L,mov     eax, 0
0x12ef9L,jmp     loc_137ED
0x12efeL,mov     rax, [rbp+var_78]
0x12f02L,lea     rdx, [rax+1]
0x12f06L,lea     rax, [rbp+var_B0]
0x12f0dL,mov     rsi, rdx
0x12f10L,mov     rdi, rax
0x12f13L,call    re_node_set_alloc
0x12f18L,mov     [rbp+var_94], eax
0x12f1eL,mov     eax, [rbp+var_94]
0x12f24L,test    eax, eax
0x12f26L,setnz   al
0x12f29L,movzx   eax, al
0x12f2cL,test    rax, rax
0x12f2fL,jnz     loc_12FF1
0x12f35L,mov     rax, 0AAAAAAAAAAAA855h
0x12f3fL,cmp     [rbp+var_78], rax
0x12f43L,setnbe  al
0x12f46L,movzx   eax, al
0x12f49L,test    rax, rax
0x12f4cL,jnz     loc_12FF4
0x12f52L,mov     rdx, [rbp+var_78]
0x12f56L,mov     rax, rdx
0x12f59L,add     rax, rax
0x12f5cL,add     rax, rdx
0x12f5fL,shl     rax, 3
0x12f63L,add     rax, 3800h
0x12f69L,cmp     rax, 0FBFh
0x12f6fL,ja      short loc_12FBE
0x12f71L,mov     rdx, [rbp+var_78]
0x12f75L,mov     rax, rdx
0x12f78L,add     rax, rax
0x12f7bL,add     rax, rdx
0x12f7eL,shl     rax, 3
0x12f82L,lea     rdx, [rax+0Fh]
0x12f86L,mov     eax, 10h
0x12f8bL,sub     rax, 1
0x12f8fL,add     rax, rdx
0x12f92L,mov     ebx, 10h
0x12f97L,mov     edx, 0
0x12f9cL,div     rbx
0x12f9fL,imul    rax, 10h
0x12fa3L,sub     rsp, rax
0x12fa6L,mov     rax, rsp
0x12fa9L,add     rax, 0Fh
0x12fadL,shr     rax, 4
0x12fb1L,shl     rax, 4
0x12fb5L,mov     [rbp+var_50], rax
0x12fb9L,jmp     loc_13085
0x12fbeL,mov     rdx, [rbp+var_78]
0x12fc2L,mov     rax, rdx
0x12fc5L,add     rax, rax
0x12fc8L,add     rax, rdx
0x12fcbL,shl     rax, 3
0x12fcfL,mov     rdi, rax        ; size
0x12fd2L,call    malloc
0x12fd7L,mov     [rbp+var_50], rax
0x12fdbL,cmp     [rbp+var_50], 0
0x12fe0L,setz    al
0x12fe3L,movzx   eax, al
0x12fe6L,test    rax, rax
0x12fe9L,jz      loc_13081
0x12fefL,jmp     short loc_13004
0x12ff1L,nop
0x12ff2L,jmp     short loc_13004
0x12ff4L,nop
0x12ff5L,jmp     short loc_13004
0x12ff7L,nop
0x12ff8L,jmp     short loc_13004
0x12ffaL,nop
0x12ffbL,jmp     short loc_13004
0x12ffdL,nop
0x12ffeL,jmp     short loc_13004
0x13000L,nop
0x13001L,jmp     short loc_13004
0x13003L,nop
0x13004L,cmp     [rbp+var_39], 0
0x13008L,jz      short loc_13016
0x1300aL,mov     rax, [rbp+var_50]
0x1300eL,mov     rdi, rax        ; ptr
0x13011L,call    free
0x13016L,mov     rax, [rbp+var_A0]
0x1301dL,mov     rdi, rax        ; ptr
0x13020L,call    free
0x13025L,mov     [rbp+var_18], 0
0x1302dL,jmp     short loc_1305B
0x1302fL,mov     rdx, [rbp+var_18]
0x13033L,mov     rax, rdx
0x13036L,add     rax, rax
0x13039L,add     rax, rdx
0x1303cL,shl     rax, 3
0x13040L,mov     rdx, rax
0x13043L,mov     rax, [rbp+var_68]
0x13047L,add     rax, rdx
0x1304aL,mov     rax, [rax+10h]
0x1304eL,mov     rdi, rax        ; ptr
0x13051L,call    free
0x13056L,add     [rbp+var_18], 1
0x1305bL,mov     rax, [rbp+var_18]
0x1305fL,cmp     rax, [rbp+var_78]
0x13063L,jb      short loc_1302F
0x13065L,cmp     [rbp+var_51], 0
0x13069L,jz      short loc_13077
0x1306bL,mov     rax, [rbp+ptr]
0x1306fL,mov     rdi, rax        ; ptr
0x13072L,call    free
0x13077L,mov     eax, 0
0x1307cL,jmp     loc_137ED
0x13081L,mov     [rbp+var_39], 1
0x13085L,mov     rax, [rbp+var_78]
0x13089L,lea     rdx, ds:0[rax*8]
0x13091L,mov     rax, [rbp+var_50]
0x13095L,add     rax, rdx
0x13098L,mov     [rbp+var_80], rax
0x1309cL,mov     rax, [rbp+var_78]
0x130a0L,lea     rdx, ds:0[rax*8]
0x130a8L,mov     rax, [rbp+var_80]
0x130acL,add     rax, rdx
0x130afL,mov     [rbp+var_88], rax
0x130b6L,lea     rax, [rbp+var_D0]
0x130bdL,mov     rdi, rax
0x130c0L,call    bitset_empty
0x130c5L,mov     [rbp+var_18], 0
0x130cdL,jmp     loc_13410
0x130d2L,mov     [rbp+var_A8], 0
0x130ddL,mov     [rbp+var_20], 0
0x130e5L,jmp     loc_13194
0x130eaL,mov     rax, [rbp+var_D8]
0x130f1L,mov     rcx, [rax+18h]
0x130f5L,mov     rdx, [rbp+var_18]
0x130f9L,mov     rax, rdx
0x130fcL,add     rax, rax
0x130ffL,add     rax, rdx
0x13102L,shl     rax, 3
0x13106L,mov     rdx, rax
0x13109L,mov     rax, [rbp+var_68]
0x1310dL,add     rax, rdx
0x13110L,mov     rax, [rax+10h]
0x13114L,mov     rdx, [rbp+var_20]
0x13118L,shl     rdx, 3
0x1311cL,add     rax, rdx
0x1311fL,mov     rax, [rax]
0x13122L,shl     rax, 3
0x13126L,add     rax, rcx
0x13129L,mov     rax, [rax]
0x1312cL,mov     [rbp+var_90], rax
0x13133L,cmp     [rbp+var_90], 0FFFFFFFFFFFFFFFFh
0x1313bL,jz      short loc_1318F
0x1313dL,mov     rax, [rbp+var_D8]
0x13144L,mov     rcx, [rax+30h]
0x13148L,mov     rdx, [rbp+var_90]
0x1314fL,mov     rax, rdx
0x13152L,add     rax, rax
0x13155L,add     rax, rdx
0x13158L,shl     rax, 3
0x1315cL,lea     rdx, [rcx+rax]
0x13160L,lea     rax, [rbp+var_B0]
0x13167L,mov     rsi, rdx
0x1316aL,mov     rdi, rax
0x1316dL,call    re_node_set_merge
0x13172L,mov     [rbp+var_94], eax
0x13178L,mov     eax, [rbp+var_94]
0x1317eL,test    eax, eax
0x13180L,setnz   al
0x13183L,movzx   eax, al
0x13186L,test    rax, rax
0x13189L,jnz     loc_12FF7
0x1318fL,add     [rbp+var_20], 1
0x13194L,mov     rdx, [rbp+var_18]
0x13198L,mov     rax, rdx
0x1319bL,add     rax, rax
0x1319eL,add     rax, rdx
0x131a1L,shl     rax, 3
0x131a5L,mov     rdx, rax
0x131a8L,mov     rax, [rbp+var_68]
0x131acL,add     rax, rdx
0x131afL,mov     rax, [rax+8]
0x131b3L,cmp     rax, [rbp+var_20]
0x131b7L,ja      loc_130EA
0x131bdL,mov     rax, [rbp+var_18]
0x131c1L,lea     rdx, ds:0[rax*8]
0x131c9L,mov     rax, [rbp+var_50]
0x131cdL,lea     rbx, [rdx+rax]
0x131d1L,lea     rdx, [rbp+var_B0]
0x131d8L,mov     rsi, [rbp+var_D8]
0x131dfL,lea     rax, [rbp+var_94]
0x131e6L,mov     ecx, 0
0x131ebL,mov     rdi, rax
0x131eeL,call    re_acquire_state_context
0x131f3L,mov     [rbx], rax
0x131f6L,mov     rax, [rbp+var_18]
0x131faL,lea     rdx, ds:0[rax*8]
0x13202L,mov     rax, [rbp+var_50]
0x13206L,add     rax, rdx
0x13209L,mov     rax, [rax]
0x1320cL,test    rax, rax
0x1320fL,setz    al
0x13212L,movzx   eax, al
0x13215L,test    rax, rax
0x13218L,jz      short loc_13231
0x1321aL,mov     eax, [rbp+var_94]
0x13220L,test    eax, eax
0x13222L,setnz   al
0x13225L,movzx   eax, al
0x13228L,test    rax, rax
0x1322bL,jnz     loc_12FFA
0x13231L,mov     rax, [rbp+var_18]
0x13235L,lea     rdx, ds:0[rax*8]
0x1323dL,mov     rax, [rbp+var_50]
0x13241L,add     rax, rdx
0x13244L,mov     rax, [rax]
0x13247L,movzx   eax, byte ptr [rax+68h]
0x1324bL,and     eax, 0FFFFFF80h
0x1324eL,test    al, al
0x13250L,jz      loc_1338C
0x13256L,mov     rax, [rbp+var_18]
0x1325aL,lea     rdx, ds:0[rax*8]
0x13262L,mov     rax, [rbp+var_80]
0x13266L,lea     rbx, [rdx+rax]
